"idade";"sexo";"educ";"partido";"candidato";"renda";"filhos"
41;"Male";"College Degree or more";"Independent";"Trampi";20427.7929629782;3
44;"Male";"College Degree or more";"Independent";"Trampi";36778.2280076943;4
38;"Male";"High School Degree";"Independent";"Trampi";23349.4095561554;2
38;"Female";"High School Degree";"Independent";"Trampi";11510.383305263;2
39;"Female";"High School Degree";"Independent";"Trampi";12862.7080701108;1
51;"Male";"High School Degree";"Independent";"Trampi";14379.2637986146;5
34;"Female";"College Incomplete";"Independent";"Rilari";8650.38943452486;1
36;"Female";"High School Degree";"Conservative Party";"Rilari";21403.3232722269;1
42;"Female";"High School Degree";"Independent";"Rilari";21629.7450481767;1
40;"Female";"High School Degree";"Socialist Party";"None";17769.1394745146;2
35;"Male";"High School Degree";"Independent";"Rilari";11599.7160640663;5
36;"Female";"No High School Degree";"Conservative Party";"Trampi";16445.835819484;1
35;"Female";"High School Degree";"Independent";"Rilari";13093.3188401674;2
45;"Female";"College Incomplete";"Independent";"Rilari";17964.7530499568;1
48;"Female";"No High School Degree";"Socialist Party";"Rilari";12213.0944889815;1
38;"Female";"College Incomplete";"Independent";"Rilari";20837.4949019444;2
30;"Female";"High School Degree";"Independent";"Trampi";5910.9723698328;2
42;"Male";"College Degree or more";"Conservative Party";"Rilari";18212.4410730839;5
39;"Female";"No High School Degree";"Independent";"Trampi";13575.3950931507;2
38;"Female";"College Degree or more";"Independent";"Rilari";11683.0320004827;1
36;"Male";"High School Degree";"Independent";"Trampi";13647.0985142876;2
43;"Female";"High School Degree";"Independent";"Rilari";17067.8555828615;4
42;"Female";"College Degree or more";"Independent";"Rilari";21371.6588562399;0
31;"Female";"High School Degree";"Independent";"None";9025.78919719024;0
40;"Male";"High School Degree";"Socialist Party";"Rilari";17891.3984323488;1
28;"Female";"College Degree or more";"Independent";"Trampi";14905.9091494994;5
34;"Female";"High School Degree";"Independent";"Trampi";15215.1265585974;1
42;"Female";"College Incomplete";"Conservative Party";"Trampi";13941.7189858503;3
35;"Female";"No High School Degree";"Conservative Party";"Trampi";14215.9698502914;2
35;"Male";"High School Degree";"Socialist Party";"Trampi";18361.5742444013;1
43;"Female";"High School Degree";"Independent";"Trampi";12151.036720628;4
35;"Female";"College Degree or more";"Independent";"Other";6326.89735518634;2
42;"Male";"High School Degree";"Socialist Party";"Trampi";17095.9719571247;3
48;"Male";"High School Degree";"Independent";"Other";12617.1845727609;2
33;"Female";"College Incomplete";"Independent";"Trampi";14721.1673242538;1
47;"Male";"High School Degree";"Independent";"Trampi";8152.85575092127;1
36;"Female";"College Incomplete";"Independent";"Trampi";20763.4276313955;4
45;"Male";"College Incomplete";"Independent";"None";17509.095121287;3
38;"Female";"High School Degree";"Socialist Party";"None";7409.0317952419;1
40;"Male";"College Incomplete";"Socialist Party";"Trampi";22762.2184621127;4
41;"Female";"College Degree or more";"Socialist Party";"Rilari";16098.2962819609;4
39;"Female";"No High School Degree";"Independent";"Rilari";13763.6647153423;2
38;"Female";"College Degree or more";"Conservative Party";"Rilari";14363.7147094418;2
39;"Female";"College Degree or more";"Independent";"Trampi";17254.2953605076;0
46;"Female";"College Incomplete";"Conservative Party";"Trampi";20493.1364568915;4
40;"Male";"High School Degree";"Conservative Party";"None";10560.7338947569;3
40;"Male";"High School Degree";"Socialist Party";"Rilari";26361.2479885721;4
41;"Male";"High School Degree";"Conservative Party";"Rilari";29127.5334121671;0
44;"Male";"High School Degree";"Independent";"Trampi";12965.5358672868;3
39;"Female";"College Incomplete";"Independent";"Rilari";4318.40278573373;0
44;"Male";"High School Degree";"Socialist Party";"Rilari";42461.2093281746;1
40;"Male";"College Degree or more";"Conservative Party";"Trampi";13906.1339168962;3
38;"Female";"College Degree or more";"Independent";"Other";10782.5728685515;1
35;"Male";"High School Degree";"Independent";"Trampi";14722.16830535;0
44;"Female";"High School Degree";"Conservative Party";"Trampi";9037.5012666065;0
38;"Male";"High School Degree";"Independent";"Trampi";23710.0345983549;0
38;"Female";"College Degree or more";"Conservative Party";"Trampi";12801.6032034499;1
31;"Male";"High School Degree";"Socialist Party";"Trampi";15109.799985752;1
40;"Female";"High School Degree";"Independent";"Trampi";2694.99263348849;1
43;"Male";"College Incomplete";"Independent";"Trampi";27967.0300504078;1
51;"Male";"High School Degree";"Independent";"None";16328.6307268187;1
37;"Male";"College Incomplete";"Conservative Party";"Rilari";4921.09654825522;1
38;"Male";"College Degree or more";"Independent";"Other";28747.7338411756;0
33;"Female";"College Incomplete";"Independent";"Rilari";15243.7202567776;1
49;"Female";"College Degree or more";"Independent";"Trampi";12965.5517850434;1
37;"Male";"College Degree or more";"Socialist Party";"None";6597.91139319976;1
34;"Female";"High School Degree";"Conservative Party";"None";6973.7493191049;1
33;"Female";"College Degree or more";"Conservative Party";"Rilari";13805.1253422477;1
37;"Male";"College Degree or more";"Conservative Party";"Rilari";21729.8383723623;2
29;"Female";"College Incomplete";"Independent";"Rilari";9900.91602507078;0
48;"Male";"College Degree or more";"Independent";"Rilari";26170.1748969108;5
32;"Female";"No High School Degree";"Independent";"Rilari";10704.8923447853;4
39;"Female";"College Degree or more";"Conservative Party";"Rilari";14675.1249124779;1
44;"Male";"High School Degree";"Conservative Party";"Trampi";25996.9401500113;1
46;"Female";"College Degree or more";"Independent";"Trampi";20307.913775906;1
40;"Male";"High School Degree";"Independent";"None";31695.4325040973;3
39;"Female";"High School Degree";"Independent";"Trampi";7914.48156127488;1
42;"Male";"College Incomplete";"Conservative Party";"Other";24709.632373628;2
43;"Female";"High School Degree";"Independent";"Rilari";12415.9571530379;0
35;"Female";"College Degree or more";"Socialist Party";"Rilari";10512.8713179601;2
36;"Male";"College Degree or more";"Conservative Party";"None";22288.8147351421;0
44;"Female";"College Incomplete";"Independent";"Trampi";14486.3019581384;2
37;"Male";"High School Degree";"Independent";"None";22972.4927038649;0
37;"Female";"College Incomplete";"Conservative Party";"Other";10624.6520813769;2
41;"Female";"High School Degree";"Independent";"Trampi";18370.6814429262;1
40;"Female";"High School Degree";"Conservative Party";"Trampi";9288.97683392082;1
33;"Female";"No High School Degree";"Independent";"Trampi";10530.8725201316;1
38;"Female";"College Degree or more";"Socialist Party";"Trampi";10377.1743853009;1
38;"Female";"No High School Degree";"Independent";"Rilari";17637.2640780958;2
34;"Female";"College Degree or more";"Socialist Party";"Rilari";12136.918595471;1
39;"Female";"College Incomplete";"Independent";"Trampi";14392.0243258279;0
42;"Female";"College Incomplete";"Socialist Party";"None";14678.3316308023;1
40;"Male";"High School Degree";"Socialist Party";"Trampi";26815.0347257348;2
47;"Male";"College Incomplete";"Independent";"Trampi";31314.6729720559;1
43;"Male";"College Degree or more";"Independent";"Trampi";27298.0675505342;0
35;"Male";"High School Degree";"Socialist Party";"None";24098.3044886471;0
44;"Female";"College Degree or more";"Independent";"Rilari";11812.9212757601;4
33;"Male";"College Degree or more";"Independent";"Rilari";36119.3667469232;1
36;"Female";"High School Degree";"Conservative Party";"Other";11732.4421045246;0
51;"Male";"High School Degree";"Independent";"Trampi";21254.2636615345;1
38;"Female";"High School Degree";"Independent";"Rilari";16678.0749231883;2
43;"Female";"High School Degree";"Independent";"Rilari";17365.0607182142;4
42;"Female";"College Degree or more";"Independent";"Rilari";22856.5327062586;0
38;"Male";"High School Degree";"Conservative Party";"Rilari";9911.42800628751;2
35;"Female";"College Incomplete";"Independent";"Trampi";6032.03969870335;1
33;"Male";"High School Degree";"Independent";"Trampi";24775.1202704404;3
37;"Male";"College Incomplete";"Independent";"Trampi";26366.9657481938;6
43;"Male";"High School Degree";"Independent";"Trampi";21527.2482439251;1
45;"Female";"High School Degree";"Independent";"Trampi";25304.7408758188;2
43;"Female";"College Degree or more";"Independent";"Trampi";12814.0463618312;1
46;"Male";"High School Degree";"Socialist Party";"Trampi";22570.0964519822;0
46;"Male";"High School Degree";"Independent";"Rilari";20663.3232186856;2
45;"Male";"College Degree or more";"Conservative Party";"Trampi";26754.1525604749;0
43;"Female";"High School Degree";"Independent";"Other";13608.5767560888;2
33;"Female";"High School Degree";"Socialist Party";"Trampi";7758.87929264541;2
36;"Female";"High School Degree";"Independent";"Trampi";8172.62867275915;1
41;"Male";"College Degree or more";"Independent";"Trampi";23375.8654473534;1
24;"Female";"High School Degree";"Independent";"Rilari";2605.94604801508;1
45;"Male";"No High School Degree";"Independent";"Rilari";32725.1270772367;2
34;"Male";"College Incomplete";"Independent";"Rilari";26417.1359273364;1
40;"Male";"College Degree or more";"Independent";"Rilari";17519.8223414902;2
35;"Female";"College Degree or more";"Independent";"Rilari";13395.3664443373;1
34;"Female";"No High School Degree";"Independent";"Rilari";15851.0861321363;3
29;"Female";"High School Degree";"Independent";"Rilari";11445.7943639928;1
38;"Female";"High School Degree";"Conservative Party";"Other";12779.7889894711;2
37;"Male";"High School Degree";"Independent";"Rilari";12271.4310285138;4
34;"Male";"College Degree or more";"Independent";"Trampi";22354.7817558985;2
37;"Male";"No High School Degree";"Independent";"Trampi";25904.4957667224;2
37;"Female";"High School Degree";"Independent";"Rilari";16119.8977128667;1
36;"Female";"High School Degree";"Conservative Party";"Trampi";20877.6199393476;0
37;"Female";"High School Degree";"Conservative Party";"Rilari";8038.26245680238;0
44;"Male";"College Degree or more";"Independent";"Other";31699.23274268;1
36;"Female";"College Incomplete";"Conservative Party";"Rilari";4233.40420967725;0
37;"Female";"High School Degree";"Independent";"Trampi";14743.7542624727;1
35;"Male";"College Incomplete";"Independent";"Trampi";28137.1884238335;1
44;"Female";"College Degree or more";"Independent";"Other";8897.3170525497;0
32;"Female";"College Degree or more";"Independent";"Rilari";15210.70299048;1
41;"Male";"High School Degree";"Independent";"Trampi";18404.7253675472;7
26;"Female";"College Degree or more";"Conservative Party";"Rilari";9013.64023486639;1
49;"Female";"High School Degree";"Independent";"Rilari";11764.9750446834;1
30;"Female";"High School Degree";"Independent";"Rilari";6679.82982496063;1
38;"Female";"College Incomplete";"Conservative Party";"Trampi";19666.824791549;2
35;"Female";"College Degree or more";"Independent";"None";12421.366080443;2
31;"Female";"College Incomplete";"Socialist Party";"Trampi";12468.6352428087;2
48;"Female";"College Degree or more";"Independent";"Trampi";19434.9086664924;2
39;"Female";"College Incomplete";"Independent";"Rilari";11655.6480733202;2
45;"Male";"College Degree or more";"Independent";"Trampi";32790.4072181443;1
38;"Male";"No High School Degree";"Independent";"None";21366.4557374314;2
39;"Female";"College Degree or more";"Socialist Party";"None";7614.98950968385;1
35;"Female";"No High School Degree";"Independent";"Rilari";7169.25285731646;3
32;"Male";"College Degree or more";"Independent";"Other";18636.4154945298;1
34;"Female";"College Incomplete";"Independent";"Other";18408.0359804546;3
31;"Female";"College Incomplete";"Socialist Party";"Rilari";11369.5410631252;0
44;"Male";"College Degree or more";"Conservative Party";"Trampi";16690.0995403164;3
39;"Female";"No High School Degree";"Socialist Party";"Rilari";11095.2485173961;1
24;"Male";"No High School Degree";"Independent";"Trampi";8827.1888500752;1
43;"Female";"High School Degree";"Independent";"Rilari";13295.7956389824;1
40;"Male";"High School Degree";"Socialist Party";"Rilari";18243.9604436175;2
36;"Male";"High School Degree";"Independent";"Rilari";33615.9819924009;2
35;"Female";"No High School Degree";"Independent";"Other";12600.6697138685;1
37;"Female";"High School Degree";"Socialist Party";"Rilari";15227.1143777978;2
37;"Female";"College Incomplete";"Socialist Party";"Trampi";21176.5165889957;3
41;"Male";"High School Degree";"Socialist Party";"Rilari";15911.9968488705;2
42;"Female";"No High School Degree";"Conservative Party";"Trampi";17703.9840797135;2
38;"Female";"High School Degree";"Independent";"Trampi";7558.09296973098;1
38;"Female";"High School Degree";"Conservative Party";"Rilari";21786.7768838279;4
39;"Male";"High School Degree";"Independent";"Other";34918.7779018885;2
39;"Male";"High School Degree";"Independent";"Trampi";19568.3454481447;4
45;"Male";"College Degree or more";"Conservative Party";"Rilari";20817.6520885464;1
40;"Female";"College Incomplete";"Conservative Party";"Trampi";17429.1743359983;1
