"age";"sex";"educ";"income";"savings";"marriage";"kids";"party";"turnout";"vote_history";"economy";"incumbent";"candidate"
38;"Male";"High School Degree";507.742424677046;35473.5589380933;"Yes";"0";"Independent";"No";"4";"Very Bad";"Bad";"Rilari"
38;"Male";"College Degree or more";6595.74411335169;25034.3209577366;"No";"0";"Independent";"No";"0";"Bad";"About average";"Rilari"
28;"Female";"College Degree or more";2171.86507514965;14780.1897343741;"No";"0";"Independent";"Yes";"0";"Bad";"Don't Know";"None"
37;"Male";"No High School Degree";5316.09279528188;15511.1459363823;"No";"0";"Independent";"No";"0";"Don't Know";"Very Bad";"Trampi"
37;"Female";"College Degree or more";359.862015694317;24977.6036315999;"No";"1";"Socialist Party";"Yes";"2";"Very Bad";"About average";"Trampi"
33;"Male";"High School Degree";522.897573984781;4802.21349860499;"Yes";"1";"Conservative Party";"No";"3";"About average";"Good";"Rilari"
36;"Female";"College Incomplete";4758.20540228768;25264.7764493102;"No";"0";"Conservative Party";"No";"1";"Bad";"About average";"None"
41;"Female";"High School Degree";2494.86244803684;34601.0149448492;"No";"2";"Socialist Party";"Yes";"2";"Bad";"Very Bad";"Rilari"
34;"Male";"High School Degree";4863.28387838754;4973.59556354027;"Yes";"0";"Independent";"No";"0";"Don't Know";"Bad";"Rilari"
26;"Female";"High School Degree";3930.4709427407;15152.3819287607;"Yes";"0";"Conservative Party";"Yes";"0";"About average";"Bad";"None"
36;"Male";"College Degree or more";321.511889129597;15231.9913839617;"No";"0";"Independent";"No";"4";"About average";"Bad";"Rilari"
36;"Male";"College Incomplete";505.881688665785;24602.6058830403;"No";"1";"Independent";"No";"1";"About average";"Bad";"Trampi"
42;"Male";"College Degree or more";2614.86082753221;34750.8183556413;"No";"2";"Conservative Party";"No";"3";"Bad";"Very good";"Other"
47;"Female";"High School Degree";2121.47837730522;24802.935160837;"No";"1";"Socialist Party";"Yes";"4";"Very Bad";"Bad";"Other"
34;"Male";"High School Degree";2476.75345753409;5488.81334533629;"Yes";"0";"Conservative Party";"Yes";"4";"About average";"Very good";"Trampi"
39;"Male";"No High School Degree";2618.61944181779;35060.0237905934;"Yes";"0";"Independent";"Yes";"4";"Good";"Good";"Rilari"
24;"Female";"College Degree or more";2242.92956822836;25086.1515871851;"Yes";"0";"Independent";"Yes";"0";"Good";"Very good";"Trampi"
38;"Male";"High School Degree";387.198738422671;25681.9950503157;"No";"0";"Socialist Party";"No";"3";"Very Bad";"Good";"Rilari"
33;"Male";"College Degree or more";2352.93381684552;24955.2056277822;"Yes";"0";"Conservative Party";"No";"2";"Good";"Good";"Rilari"
43;"Female";"College Degree or more";2725.30281637799;5212.44922324846;"No";"0";"Socialist Party";"No";"2";"Good";"Good";"Rilari"
34;"Female";"College Incomplete";985.45531861792;14713.7953944989;"No";"0";"Socialist Party";"No";"2";"Good";"Bad";"Trampi"
37;"Female";"High School Degree";2049.14603724447;25360.4910951104;"No";"2";"Socialist Party";"Yes";"0";"Very good";"Very good";"Trampi"
42;"Male";"College Incomplete";1786.22164426816;5071.44042292842;"No";"3 or more";"Independent";"Yes";"4";"Bad";"About average";"Rilari"
28;"Male";"High School Degree";109.894674777042;15561.3620062455;"Yes";"1";"Socialist Party";"No";"3";"Good";"Bad";"Rilari"
32;"Female";"College Degree or more";2639.18000892067;15159.9882812681;"Yes";"1";"Independent";"Yes";"1";"Good";"About average";"Trampi"
25;"Female";"High School Degree";4376.67930180508;15437.3162975767;"Yes";"0";"Conservative Party";"Yes";"4";"Don't Know";"Bad";"Trampi"
27;"Male";"No High School Degree";134.738822296014;24797.8353949447;"Yes";"0";"Independent";"Yes";"4";"Bad";"Very good";"Trampi"
39;"Male";"College Incomplete";2206.68916054813;25330.5821418732;"Yes";"0";"Independent";"No";"4";"Bad";"Good";"Rilari"
37;"Male";"College Incomplete";4294.48888457494;5192.88434157081;"Yes";"2";"Independent";"No";"0";"Bad";"Very Bad";"Trampi"
40;"Female";"College Degree or more";2353.42927645683;15747.7135519049;"Yes";"0";"Conservative Party";"Yes";"4";"Very Bad";"Bad";"Other"
37;"Male";"High School Degree";4114.16344679897;5299.81069693091;"Yes";"0";"Socialist Party";"No";"2";"Bad";"Very Bad";"Trampi"
39;"Female";"College Incomplete";2734.23303913733;14996.1430000154;"No";"1";"Socialist Party";"No";"2";"Good";"Good";"Trampi"
41;"Female";"High School Degree";2787.64439435218;4889.88594352438;"Yes";"1";"Socialist Party";"No";"2";"Bad";"Good";"Other"
40;"Female";"College Degree or more";4001.82484249847;15422.0283231935;"No";"0";"Conservative Party";"No";"0";"Bad";"Good";"Rilari"
34;"Male";"No High School Degree";471.336977331287;5361.34163316513;"No";"0";"Conservative Party";"Yes";"4";"About average";"Bad";"None"
36;"Female";"No High School Degree";4320.93101018742;44886.9540358414;"Yes";"2";"Socialist Party";"Yes";"0";"Good";"Very Bad";"None"
31;"Female";"High School Degree";2970.31437724766;14614.1024318479;"No";"0";"Independent";"Yes";"4";"Very good";"About average";"Trampi"
35;"Male";"College Degree or more";458.7363037232;15269.879981776;"No";"1";"Independent";"No";"4";"Bad";"About average";"Trampi"
40;"Male";"College Degree or more";2620.03914743125;24545.8460977692;"Yes";"0";"Independent";"Yes";"4";"Bad";"Very Bad";"Other"
35;"Female";"High School Degree";454.983443116678;14939.2981914342;"Yes";"0";"Independent";"Yes";"0";"Bad";"About average";"Other"
31;"Female";"College Degree or more";610.017678189382;15167.8791989724;"Yes";"1";"Socialist Party";"Yes";"1";"Don't Know";"Bad";"Rilari"
32;"Male";"College Incomplete";444.370313768271;14618.2868779266;"No";"1";"Independent";"No";"0";"About average";"Very Bad";"Trampi"
36;"Male";"College Degree or more";2535.15747582865;14954.2464200991;"Yes";"0";"Independent";"Yes";"4";"About average";"Very good";"Rilari"
35;"Female";"College Incomplete";465.167671639071;25365.5579043741;"Yes";"0";"Independent";"No";"4";"Good";"Bad";"Trampi"
34;"Female";"College Incomplete";2671.75561411416;14180.4398815309;"Yes";"0";"Socialist Party";"No";"0";"Good";"Bad";"Other"
34;"Male";"High School Degree";214.332322598683;5345.26833827045;"No";"0";"Independent";"Yes";"0";"Bad";"Good";"Trampi"
32;"Male";"College Degree or more";1146.26864632744;14899.6541680395;"No";"0";"Independent";"No";"3";"Very Bad";"About average";"None"
39;"Female";"No High School Degree";794.323033027457;14241.7144787592;"No";"0";"Conservative Party";"Yes";"0";"Bad";"Very good";"Rilari"
24;"Female";"High School Degree";2138.86826772963;4957.63416485956;"No";"3 or more";"Independent";"Yes";"3";"Very Bad";"Very good";"None"
36;"Female";"High School Degree";2734.93700711971;15059.130254547;"No";"2";"Independent";"Yes";"0";"About average";"About average";"Rilari"
27;"Male";"College Incomplete";799.692284891224;5069.87425000597;"Yes";"1";"Independent";"No";"0";"Good";"Very good";"Rilari"
40;"Female";"College Degree or more";792.018701797008;15280.935804901;"Yes";"2";"Independent";"No";"0";"Bad";"Very good";"Trampi"
34;"Male";"College Degree or more";387.27100903118;45289.8572868957;"Yes";"0";"Independent";"No";"3";"Bad";"Very Bad";"Rilari"
45;"Female";"High School Degree";769.231008483427;14501.6610909096;"Yes";"1";"Conservative Party";"No";"2";"About average";"Bad";"Rilari"
36;"Male";"High School Degree";4614.06967202133;24940.1570171171;"Yes";"0";"Independent";"No";"0";"About average";"Bad";"Rilari"
32;"Male";"College Incomplete";373.700792023957;24938.8838850944;"No";"0";"Independent";"Yes";"1";"Bad";"Don't Know";"Rilari"
42;"Female";"College Degree or more";2849.23557338096;44639.3708499357;"No";"0";"Independent";"No";"0";"Good";"About average";"Trampi"
45;"Male";"College Degree or more";4392.83710340934;4819.31594446176;"No";"0";"Independent";"Yes";"4";"About average";"Good";"Trampi"
38;"Female";"High School Degree";6371.93912704599;25062.7230432788;"No";"0";"Independent";"No";"3";"About average";"Don't Know";"Rilari"
39;"Male";"High School Degree";2513.30436260749;5230.565766484;"No";"0";"Conservative Party";"No";"4";"About average";"Very good";"Rilari"
30;"Female";"College Incomplete";2261.61157682975;14952.3971923047;"Yes";"1";"Independent";"No";"4";"Good";"About average";"Trampi"
30;"Male";"High School Degree";4812.74147628421;4747.08956310697;"No";"0";"Conservative Party";"Yes";"0";"Very Bad";"About average";"Rilari"
41;"Female";"High School Degree";2577.2571199564;14998.570646142;"No";"1";"Conservative Party";"No";"0";"Bad";"Very Bad";"Rilari"
33;"Male";"No High School Degree";2791.07890664216;15250.5085321591;"No";"1";"Independent";"Yes";"3";"Good";"Bad";"Trampi"
37;"Female";"College Degree or more";4362.99615903636;5209.70264784538;"Yes";"0";"Socialist Party";"No";"4";"Good";"Bad";"Rilari"
37;"Male";"High School Degree";1028.12259333616;15480.5572333436;"Yes";"0";"Conservative Party";"Yes";"4";"Bad";"Very Bad";"Trampi"
37;"Female";"College Incomplete";421.223999182588;15090.9971567864;"No";"0";"Independent";"No";"0";"Bad";"Very good";"Other"
37;"Male";"College Incomplete";520.716803309525;5017.28336726373;"No";"0";"Socialist Party";"Yes";"2";"About average";"Very Bad";"Trampi"
37;"Male";"High School Degree";603.382696213082;25133.7583101816;"Yes";"0";"Independent";"Yes";"2";"About average";"Very Bad";"Trampi"
32;"Male";"High School Degree";312.890145004284;15994.8136304072;"No";"0";"Conservative Party";"No";"1";"Good";"Good";"None"
26;"Female";"College Degree or more";2497.5339970616;24852.6840474171;"No";"0";"Conservative Party";"No";"2";"Bad";"Very Bad";"Trampi"
34;"Male";"College Degree or more";4056.9407667034;4921.49424617704;"Yes";"1";"Independent";"No";"0";"Bad";"Bad";"Trampi"
33;"Male";"High School Degree";4085.37277714581;15460.7065754191;"Yes";"0";"Independent";"Yes";"0";"Very Bad";"Good";"Other"
26;"Female";"High School Degree";4864.75951493235;25112.9781821809;"Yes";"1";"Independent";"Yes";"4";"Very good";"Very good";"Trampi"
31;"Female";"College Incomplete";4442.55988289992;5263.80769335641;"Yes";"0";"Independent";"No";"0";"About average";"Good";"Trampi"
28;"Female";"College Incomplete";8577.19446046394;14659.0220420323;"No";"2";"Independent";"No";"4";"About average";"Good";"Rilari"
33;"Male";"College Incomplete";6489.9360669156;14907.6986164315;"Yes";"1";"Independent";"No";"2";"Good";"Good";"Trampi"
32;"Male";"High School Degree";789.122578937867;5537.78183800992;"Yes";"1";"Conservative Party";"Yes";"2";"Bad";"Very Bad";"None"
38;"Male";"College Degree or more";259.972662317861;14879.960549419;"Yes";"0";"Independent";"No";"2";"About average";"Bad";"Trampi"
31;"Male";"College Incomplete";2777.84501810341;4968.3334855637;"No";"0";"Independent";"Yes";"2";"About average";"Good";"Rilari"
44;"Male";"College Incomplete";2869.1448527416;25282.7376172049;"Yes";"0";"Independent";"No";"2";"Good";"Good";"Rilari"
34;"Female";"College Incomplete";8835.3305792144;5106.42496448434;"Yes";"0";"Independent";"No";"3";"Bad";"About average";"Trampi"
37;"Male";"High School Degree";6713.97194615896;4673.41415020257;"No";"0";"Independent";"Yes";"3";"About average";"About average";"Rilari"
34;"Male";"College Degree or more";2303.68689127347;5179.1924107347;"Yes";"1";"Independent";"Yes";"4";"Bad";"About average";"Trampi"
48;"Male";"College Degree or more";4314.18479869869;15107.1772550296;"No";"0";"Conservative Party";"No";"0";"About average";"Don't Know";"Trampi"
29;"Female";"College Incomplete";357.510866490759;24969.3187100559;"No";"3 or more";"Independent";"No";"4";"Bad";"Good";"None"
43;"Female";"No High School Degree";6879.24047611236;14852.8492200097;"No";"2";"Independent";"No";"0";"Bad";"Good";"Rilari"
40;"Female";"High School Degree";4713.9182131111;4874.14220777297;"Yes";"1";"Independent";"Yes";"4";"Very Bad";"About average";"Other"
34;"Male";"High School Degree";586.160409415203;15201.3439225296;"Yes";"0";"Independent";"No";"0";"About average";"Good";"Trampi"
38;"Female";"College Degree or more";245.892617622144;14397.8539236167;"Yes";"1";"Socialist Party";"No";"0";"Good";"Very good";"Rilari"
41;"Male";"High School Degree";588.78423451095;4795.93424497305;"Yes";"0";"Socialist Party";"Yes";"3";"About average";"Good";"Rilari"
25;"Male";"High School Degree";4619.4343383728;14698.5341647361;"No";"0";"Socialist Party";"No";"0";"Very Bad";"Bad";"Other"
41;"Female";"College Degree or more";405.32125958854;5021.95899953892;"Yes";"0";"Conservative Party";"No";"4";"Good";"Good";"Trampi"
39;"Female";"College Degree or more";4772.3531885278;15079.573466657;"No";"0";"Independent";"Yes";"4";"Bad";"Bad";"Trampi"
41;"Female";"High School Degree";2188.16986664343;5063.23601661424;"No";"2";"Independent";"Yes";"0";"Very Bad";"About average";"Trampi"
26;"Female";"College Incomplete";267.573509969778;15162.5038593024;"No";"2";"Conservative Party";"No";"3";"Don't Know";"Good";"Rilari"
36;"Female";"No High School Degree";3955.14501867601;24712.0436638346;"No";"2";"Independent";"Yes";"4";"About average";"About average";"Trampi"
29;"Male";"High School Degree";4454.44740316984;35365.5709225819;"Yes";"2";"Independent";"No";"0";"Bad";"Good";"Other"
35;"Female";"High School Degree";487.294618724466;35166.7471833241;"Yes";"0";"Conservative Party";"Yes";"4";"About average";"Very Bad";"Trampi"
38;"Female";"College Incomplete";2239.76447928349;14914.4102303886;"No";"0";"Independent";"Yes";"1";"Bad";"Good";"Trampi"
41;"Female";"High School Degree";2843.36793938378;15473.8886772235;"No";"0";"Independent";"Yes";"3";"Good";"Very Bad";"Trampi"
33;"Female";"College Degree or more";6526.43252436523;15096.9820298966;"Yes";"2";"Independent";"Yes";"2";"Good";"Bad";"Rilari"
39;"Female";"High School Degree";911.526105173258;4966.86686894068;"No";"2";"Independent";"Yes";"4";"Bad";"Good";"Rilari"
42;"Male";"College Incomplete";2684.30397671529;34990.551872272;"No";"2";"Socialist Party";"No";"0";"Good";"Very good";"Trampi"
33;"Female";"High School Degree";378.664900908161;24589.5852493494;"Yes";"3 or more";"Independent";"No";"4";"Very Bad";"Very Bad";"Rilari"
25;"Male";"High School Degree";8187.55713749622;24792.923827783;"Yes";"1";"Independent";"No";"4";"About average";"Good";"Rilari"
29;"Female";"College Incomplete";4746.7166015613;15832.4504592425;"No";"0";"Independent";"No";"2";"Good";"About average";"Rilari"
39;"Male";"High School Degree";6206.12344032932;4710.18013072084;"Yes";"1";"Socialist Party";"Yes";"3";"Very good";"About average";"Trampi"
40;"Female";"College Degree or more";6466.70302320719;4226.48981463012;"No";"3 or more";"Socialist Party";"Yes";"0";"Don't Know";"Very good";"Rilari"
32;"Male";"College Incomplete";2433.71375571015;55555.204424696;"Yes";"2";"Socialist Party";"No";"0";"Good";"Very Bad";"Trampi"
37;"Female";"College Incomplete";4264.09079862562;35111.9775755527;"No";"2";"Socialist Party";"Yes";"4";"Very good";"Very good";"Trampi"
34;"Female";"High School Degree";511.289712728549;14999.8646067692;"No";"0";"Independent";"No";"3";"Don't Know";"About average";"None"
28;"Female";"College Incomplete";640.919626658365;25026.6736999604;"No";"2";"Conservative Party";"No";"1";"Bad";"About average";"Rilari"
33;"Male";"College Incomplete";2491.15608921739;5023.2232093217;"Yes";"2";"Conservative Party";"No";"3";"About average";"Very good";"Trampi"
25;"Female";"High School Degree";4565.47642248038;34991.7604734827;"No";"2";"Independent";"No";"0";"Bad";"Good";"Trampi"
36;"Female";"High School Degree";2157.32900164109;5111.70943332873;"Yes";"2";"Socialist Party";"Yes";"0";"Good";"Very good";"Rilari"
32;"Female";"College Degree or more";8642.77339540774;14557.7804512408;"Yes";"0";"Independent";"No";"4";"Bad";"Good";"Trampi"
36;"Male";"College Incomplete";8477.75752750693;15313.1480615004;"No";"1";"Independent";"Yes";"4";"Bad";"Good";"Trampi"
37;"Female";"High School Degree";8055.41045835232;24659.6045570403;"Yes";"2";"Conservative Party";"Yes";"0";"About average";"Don't Know";"Rilari"
31;"Female";"No High School Degree";140.024009999043;15033.8834298739;"Yes";"2";"Independent";"Yes";"4";"Good";"About average";"Trampi"
32;"Male";"College Degree or more";2282.66692013906;4590.68494671441;"No";"0";"Independent";"Yes";"0";"Bad";"Bad";"Trampi"
40;"Male";"High School Degree";85.0952827498312;44989.6657364895;"Yes";"2";"Independent";"Yes";"3";"Bad";"Very Bad";"Rilari"
32;"Male";"College Incomplete";2921.63851538714;4671.72729004234;"Yes";"0";"Conservative Party";"Yes";"0";"Good";"Very good";"None"
36;"Female";"College Degree or more";4696.80152537558;25160.9407690288;"No";"0";"Independent";"Yes";"4";"About average";"Good";"Trampi"
35;"Female";"College Degree or more";4326.65156623264;5054.77935899102;"No";"1";"Conservative Party";"Yes";"3";"Very good";"Very good";"Rilari"
38;"Male";"High School Degree";2532.47013800527;5069.5775917725;"No";"0";"Conservative Party";"Yes";"4";"Bad";"Bad";"Other"
37;"Female";"High School Degree";2676.28304980888;15127.3040626323;"Yes";"2";"Independent";"No";"4";"Very Bad";"Very good";"Rilari"
27;"Male";"College Degree or more";2598.40699141663;5086.90504414701;"No";"0";"Conservative Party";"Yes";"0";"Bad";"Good";"Other"
34;"Female";"College Degree or more";4034.51298392376;34857.9351552406;"No";"1";"Independent";"Yes";"3";"Bad";"Good";"Trampi"
41;"Male";"High School Degree";-204.037659828432;5415.50391291394;"No";"2";"Socialist Party";"No";"4";"Bad";"Bad";"Rilari"
30;"Female";"High School Degree";4716.18077549841;14835.8664134415;"No";"0";"Socialist Party";"Yes";"3";"Good";"Good";"Other"
40;"Male";"College Degree or more";2090.992502233;24712.4051272603;"Yes";"2";"Independent";"Yes";"1";"Bad";"Bad";"Rilari"
34;"Male";"College Degree or more";3991.27462762972;14296.4835317828;"Yes";"2";"Conservative Party";"Yes";"3";"About average";"Very good";"Rilari"
39;"Male";"High School Degree";2656.84417628526;5410.13660137049;"Yes";"2";"Independent";"No";"1";"Don't Know";"Good";"Trampi"
44;"Male";"High School Degree";2076.92481410073;5141.21743474158;"Yes";"0";"Socialist Party";"Yes";"3";"About average";"Don't Know";"Rilari"
40;"Female";"College Degree or more";371.54610581541;35181.8450241779;"No";"2";"Independent";"Yes";"0";"About average";"About average";"Trampi"
32;"Female";"High School Degree";648.754684287164;24446.891667321;"Yes";"2";"Conservative Party";"Yes";"4";"Bad";"Don't Know";"None"
36;"Female";"College Incomplete";4543.74677156193;34829.2511413416;"Yes";"2";"Socialist Party";"Yes";"4";"About average";"Good";"Other"
40;"Male";"High School Degree";213.359462001883;5020.77526219737;"Yes";"1";"Independent";"Yes";"4";"About average";"Very Bad";"Trampi"
37;"Male";"College Incomplete";2178.74193064882;24923.8864624773;"No";"0";"Independent";"Yes";"0";"Bad";"Good";"Rilari"
30;"Female";"College Degree or more";902.724555602226;5383.40212397828;"No";"0";"Independent";"No";"0";"About average";"Very good";"Trampi"
29;"Male";"No High School Degree";91.2456666084398;15530.426214813;"Yes";"0";"Independent";"No";"0";"Bad";"Good";"Trampi"
35;"Male";"College Degree or more";475.76880557412;4724.64691349362;"Yes";"2";"Conservative Party";"No";"3";"Bad";"About average";"Trampi"
32;"Female";"High School Degree";178.268013486483;4778.52142341539;"No";"2";"Independent";"No";"3";"Bad";"Good";"Rilari"
29;"Male";"College Degree or more";4566.39351442059;25251.2739841114;"No";"0";"Independent";"Yes";"0";"Bad";"Good";"Trampi"
34;"Male";"College Incomplete";586.500937318285;5213.83448292972;"Yes";"1";"Independent";"Yes";"2";"About average";"Good";"Rilari"
40;"Male";"College Incomplete";2526.03148989621;24649.1191017933;"No";"0";"Independent";"No";"4";"Very Bad";"Very good";"Other"
40;"Male";"High School Degree";2496.02749630279;14891.7225539294;"No";"0";"Independent";"No";"2";"Bad";"Good";"Trampi"
33;"Male";"High School Degree";3092.79636214942;15071.6359938538;"Yes";"2";"Socialist Party";"No";"3";"Bad";"Don't Know";"Trampi"
34;"Male";"High School Degree";8417.36081156562;15220.6480823145;"No";"0";"Socialist Party";"No";"4";"Don't Know";"Very Bad";"Rilari"
25;"Female";"High School Degree";637.286911770925;14496.9903210106;"No";"1";"Independent";"Yes";"0";"Very Bad";"Very good";"Trampi"
39;"Female";"High School Degree";2433.80333816218;15195.71729244;"No";"0";"Socialist Party";"No";"0";"Bad";"Good";"Rilari"
26;"Male";"College Degree or more";511.797172865323;5280.02906657789;"Yes";"2";"Independent";"Yes";"4";"Don't Know";"Bad";"Trampi"
28;"Male";"College Incomplete";2364.92112122531;4491.21805261885;"No";"0";"Independent";"Yes";"0";"Bad";"About average";"Trampi"
26;"Female";"College Degree or more";314.859514146669;4878.43574448085;"No";"1";"Independent";"No";"3";"About average";"Bad";"Trampi"
37;"Female";"College Incomplete";6444.08120223723;14773.7802429172;"Yes";"0";"Socialist Party";"No";"3";"Very good";"Very Bad";"Trampi"
32;"Male";"College Degree or more";705.091382608796;5196.96535051799;"Yes";"0";"Independent";"Yes";"2";"Bad";"About average";"None"
33;"Female";"College Degree or more";165.983757526527;15338.6997820596;"No";"0";"Socialist Party";"Yes";"1";"Good";"Very good";"Trampi"
33;"Male";"High School Degree";4336.88192616205;34609.6681139656;"Yes";"1";"Socialist Party";"No";"3";"Very Bad";"Good";"Trampi"
32;"Male";"College Incomplete";199.799854258281;14952.8228835877;"Yes";"1";"Independent";"No";"3";"Very good";"Very good";"Rilari"
28;"Male";"College Degree or more";333.943883880838;4922.15845348346;"Yes";"0";"Independent";"Yes";"3";"Good";"Very good";"Other"
32;"Male";"College Incomplete";381.759324763338;24649.6606498161;"Yes";"2";"Conservative Party";"Yes";"0";"Very Bad";"Very good";"Trampi"
34;"Female";"High School Degree";4849.24280917298;4813.37234894557;"No";"0";"Independent";"No";"3";"About average";"Good";"Trampi"
35;"Male";"No High School Degree";715.447503826998;15078.6914285166;"No";"2";"Conservative Party";"Yes";"0";"Bad";"About average";"Trampi"
29;"Male";"College Incomplete";2976.10471557962;4716.07441224103;"Yes";"1";"Independent";"No";"1";"About average";"Very Bad";"Rilari"
45;"Male";"High School Degree";609.13998488782;5303.40894639347;"Yes";"2";"Independent";"No";"4";"Bad";"Bad";"Trampi"
28;"Male";"No High School Degree";2679.06945505644;4729.30000789387;"No";"1";"Independent";"Yes";"3";"Very Bad";"Very good";"Rilari"
35;"Female";"High School Degree";2264.95421654;24764.3384166229;"Yes";"2";"Independent";"No";"4";"Don't Know";"Good";"Rilari"
37;"Male";"High School Degree";4365.38690057827;14712.6305704397;"No";"2";"Independent";"Yes";"1";"Bad";"About average";"Rilari"
43;"Male";"High School Degree";6597.13177876836;34998.7283114644;"No";"2";"Conservative Party";"Yes";"0";"Good";"Bad";"Rilari"
30;"Male";"High School Degree";2312.89600095907;4157.61262395156;"Yes";"2";"Independent";"Yes";"3";"Good";"Very good";"None"
28;"Female";"College Incomplete";2385.41970513444;34719.1502321903;"Yes";"0";"Socialist Party";"Yes";"2";"Good";"Very good";"Rilari"
